EJER;CCAA;SECTOR;TIPOPER;MODELO;M390_1;M390_2;M390_3;M390_4;M390_5;M390_6;M390_7;M390_8;M390_9;M390_10;M390_11;M390_12;M390_13;M390_14;M390_15;M390_16;M390_17;M390_18;M390_19;M390_20;M390_21;M390_22;M390_23;M390_24;M390_25;M390_26;M390_27;M390_28;M390_29;M390_30;M390_31;M390_32;M390_33;M390_34;M390_35;M390_36;M390_37;M390_38;M390_39
2024;1;99;0;390;1084049,140000;211331,320000;211331,320000;25013,230000;32232,780000;0,000000;227,770000;20,160000;0,000000;40388,810000;170942,510000;10835,680000;1111708,050000;1002610,980000;0,000000;0,000000;24551,080000;0,000000;827603,060000;1190731,060000;1002610,980000;177521,450000;1013209,610000;153489,430000;-1084,620000;181778,190000;0,000000;181778,190000;181759,100000;181759,100000;193983,630000;0,000000;1880,570000;10344,020000;0,000000;0,000000;0,000000;89;0
2024;1;99;1;390;424495926,120000;64077547,370000;64079634,410000;49037502,590000;4746328,720000;197734,920000;416513,560000;261843,250000;4014,940000;53994390,760000;10085243,650000;0,000000;566180433,980000;404974171,790000;8238518,140000;13025427,170000;101572408,130000;30639251,540000;112773092,310000;543664757,020000;401244743,930000;404063752,870000;139601004,150000;24502725,590000;17997239,120000;10085243,650000;0,000000;10280554,400000;6084291,610000;6279602,360000;19624535,530000;1692033,680000;8370689,520000;3477509,440000;195310,750000;0,000000;276,990000;1025;1
2024;2;1;0;390;337378073,670000;27394478,100000;27397308,370000;24648210,720000;8641099,510000;1711,310000;490050,990000;41480,310000;409535,630000;33844143,540000;-6446835,170000;6302826,180000;536664174,910000;330182547,960000;2262910,240000;1443243,790000;2369158,570000;186738,760000;209301414,180000;530243201,810000;323935922,930000;259696740,230000;268229175,450000;59641251,540000;-1060372,020000;-141172,940000;0,000000;-137425,540000;-2162763,540000;-2159016,140000;18719117,760000;713594,440000;18172375,550000;1992278,250000;3747,400000;0,000000;0,000000;7621;0
2024;2;1;1;390;3892167417,430000;314521949,750000;314623623,080000;292699317,580000;38015820,250000;177125,890000;10691450,190000;1230174,520000;6520540,460000;344006581,900000;-29382958,820000;3593560,290000;3973086968,260000;3704126283,430000;125188858,620000;35458069,540000;10384983,570000;3374949,410000;1151894256,810000;4146758786,520000;3695309976,700000;2731887837,730000;1413845471,780000;198939102,660000;59099430,230000;-25786049,030000;0,000000;-25613017,910000;-32586983,740000;-32413952,620000;50530546,920000;38542508,870000;35447246,220000;7759012,770000;173031,120000;11780458,190000;13148249,600000;4733;13
2024;2;2;0;390;7907942,380000;1472152,100000;1472233,390000;434337,580000;98681,540000;0,000000;1106,550000;7,680000;305,760000;530162,800000;942070,590000;0,000000;8349434,090000;7853421,890000;34429,040000;294,690000;46308,310000;0,000000;5049137,560000;8092024,300000;7814921,890000;2417632,560000;5705631,400000;447459,830000;24295,380000;942070,590000;0,000000;943147,290000;895142,840000;896219,540000;1017829,690000;0,000000;80037,350000;42652,060000;1076,700000;0,000000;0,000000;380;0
2024;2;2;1;390;1562593838,850000;294146906,870000;294146921,640000;169292738,840000;22674064,800000;7291064,060000;21301878,530000;14518225,000000;14730,680000;225077363,570000;69069558,070000;0,000000;1590970477,150000;1314391808,010000;121228248,400000;100104833,800000;8026563,920000;3779429,420000;450127959,290000;1614185472,150000;1279875630,580000;1122153641,590000;492031830,560000;85917312,630000;81483006,300000;69069558,070000;7121368,330000;76352013,830000;73165261,920000;73326349,350000;64109295,480000;7869187,620000;4113609,510000;5444423,350000;7282455,760000;39138059,110000;12655228,080000;1144;36
2024;2;3;0;390;126546687,840000;22081730,610000;22112896,370000;12455163,440000;836491,130000;8704,080000;325624,370000;25218,650000;382208,990000;13941856,190000;8171040,180000;387884,770000;139630402,890000;124517357,940000;1386335,130000;690078,260000;551592,640000;466071,780000;56151188,280000;143021316,690000;124338756,220000;78237037,960000;61054797,520000;4142283,740000;339941,720000;8558924,950000;0,000000;8576834,720000;8191657,010000;8209566,780000;9534290,440000;0,000000;857803,690000;484947,820000;17909,770000;0,000000;0,000000;1702;0
2024;2;3;1;390;21061043784,210000;3662543578,270000;3664313925,020000;2528300601,400000;91079302,860000;293646142,860000;590099197,750000;83898704,840000;22642989,070000;3465600260,940000;198713664,080000;2976,360000;25701137092,780000;16928716938,110000;5086153642,140000;3051168772,380000;78209190,890000;172298066,290000;2290974855,040000;26439717424,680000;16918562310,150000;20833884325,640000;5605697548,210000;540628363,320000;3719728362,700000;198742914,270000;247451243,270000;489035753,560000;425423900,990000;468265497,010000;898926783,080000;429553796,180000;23522438,060000;15595948,710000;290291192,570000;65740005,970000;70572744,810000;3729;59
2024;2;4;0;390;563872937,380000;111629187,130000;111629682,820000;40213013,320000;3602732,400000;10934,160000;169431,820000;22509,160000;20047,250000;43457326,450000;68172356,370000;370,550000;597176955,770000;555102077,710000;1315665,800000;741197,050000;6121519,430000;797566,810000;353953376,810000;571793827,150000;553717823,110000;196851138,560000;374923733,870000;16142752,150000;1110679,720000;68173035,740000;0,000000;68201065,870000;66906758,610000;66934788,740000;69787890,930000;27672,610000;1389339,300000;1464400,200000;28030,130000;0,000000;0,000000;22945;0
2024;2;4;1;390;5652140328,310000;1059125592,910000;1059142265,310000;791327688,420000;51971829,390000;1942858,330000;18137918,170000;4459483,080000;42376,900000;848616989,340000;210525275,970000;603,160000;6058135676,530000;4324888802,350000;49249892,690000;55226562,330000;126949593,070000;59645003,440000;1442628775,040000;5878373037,800000;4295496081,160000;4078885321,390000;1799502017,190000;226770205,990000;8427087,500000;210517831,150000;1081162,630000;212471795,970000;182650581,360000;183523383,550000;313439934,130000;80176787,810000;33954783,020000;19743872,000000;1953964,820000;22728408,560000;19644344,870000;13330;108
