EJER;CCAA;PROV;SEXO;MODELO;M190_P1;M190_P2;M190_P3
2023;14;30;1;190;151730;2704187480,6000000;137973,0000000
2023;14;30;2;190;146359;1985255245,5900000;134580,0000000
2023;12;32;1;190;53151;813757045,3500000;49080,0000000
2023;12;32;2;190;58476;720256476,7300000;54277,0000000
2023;3;33;1;190;179989;3998064696,8100000;152252,0000000
2023;3;33;2;190;163601;2568634454,5900000;146644,0000000
2023;7;34;2;190;23950;345769501,5500000;21489,0000000
2023;7;34;1;190;27515;515868965,5300000;23910,0000000
2023;5;35;2;190;111093;1583535738,1000000;102800,0000000
2023;5;35;1;190;112851;1985060754,5600000;104001,0000000
2023;12;36;2;190;140912;1880419998,1300000;128496,0000000
2023;12;36;1;190;131817;2389712691,7800000;120753,0000000
2023;7;37;2;190;47933;688800342,9100000;42954,0000000
2023;7;37;1;190;52061;912129515,9000000;46063,0000000
2023;5;38;2;190;110208;1487262545,7200000;101691,0000000
2023;5;38;1;190;104493;1713586569,7300000;95443,0000000
2023;6;39;2;190;82876;1227593222,9700000;73880,0000000
2023;6;39;1;190;85496;1728460434,6400000;75374,0000000
2023;7;40;2;190;19592;281257171,1400000;17345,0000000
2023;7;40;1;190;22113;389703395,4100000;19137,0000000
2023;1;41;2;190;224816;3204233137,3800000;209371,0000000
2023;1;41;1;190;222443;4051679096,0100000;203423,0000000
2023;7;42;1;190;13919;247342056,7900000;12103,0000000
2023;7;42;2;190;12866;192447706,9100000;11439,0000000
2023;9;43;1;190;108739;1989356448,4100000;91119,0000000
2023;9;43;2;190;108873;1450476745,3000000;90877,0000000
2023;2;44;2;190;18293;253700368,9500000;16366,0000000
2023;2;44;1;190;21253;398017886,5400000;18723,0000000
2023;8;45;1;190;81896;1404611796,6000000;74653,0000000
2023;8;45;2;190;64718;853001604,1500000;60092,0000000
2023;10;46;1;190;314814;5881639969,6200000;281757,0000000
2023;10;46;2;190;320217;4556583595,9900000;291151,0000000
2023;7;47;1;190;79847;1629828986,4900000;69585,0000000
